date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
08-Jul-2019 - 00:00,54.14,163.58,4.97,32.14,21.28,34.53,13.25,1.21,33.38,0.94,,,,,,,,
09-Jul-2019 - 00:00,50.73,135.25,10.61,25.52,22.23,33.97,10.21,0.85,22.45,1.13,,,,,,,,
10-Jul-2019 - 00:00,104.17,352.11,11.17,27.68,23.86,32.88,12.93,0.9,22.62,1.25,,,,,,,,
11-Jul-2019 - 00:00,123.9,424.7,4.24,14.53,11.16,35.08,12.95,0.84,22.42,1.51,,,,,,,,
12-Jul-2019 - 00:00,114.24,428.29,6.9,15.04,13.61,35.38,6.88,0.91,13.64,1.4,,,,,,,,
13-Jul-2019 - 00:00,74.96,350.33,4.75,11.91,10.22,36.93,7.86,0.9,25.03,1.68,,,,,,,,
14-Jul-2019 - 00:00,82.08,288,5.09,16.46,12.95,32.91,7.91,0.65,37.89,1.52,,,,,,,,
15-Jul-2019 - 00:00,48.71,138.04,11.15,28.77,24.44,30.06,8.78,1.26,30.26,1.53,,,,,,,,
16-Jul-2019 - 00:00,39.54,89.23,8.17,20.08,17.35,31.13,8.23,0.92,37.26,1.5,,,,,,,,
17-Jul-2019 - 00:00,31.02,64.38,5.74,22.91,16.86,28.43,4.17,1.57,38.47,0.85,,,,,,,,
18-Jul-2019 - 00:00,27.69,70.31,6.38,30.93,21.63,25.7,6.85,1.39,48.91,0.75,,,,,,,,
19-Jul-2019 - 00:00,88.48,224.48,20.07,48.65,42.24,31.27,13.24,0.99,80.01,0.86,,,,,,,,
20-Jul-2019 - 00:00,56.5,141.58,9.67,37.24,27.71,36.48,6.56,1.14,21.11,0.9,,,,,,,,
21-Jul-2019 - 00:00,56,129.21,17.06,39.6,34.97,42.82,7.22,1.41,24.67,0.91,,,,,,,,
22-Jul-2019 - 00:00,58.58,139.02,12.79,27.61,25.1,44.19,7.01,1.12,21.73,1.05,,,,,,,,
23-Jul-2019 - 00:00,43.84,129.42,6.59,21.04,16.52,47.24,5.6,1.77,19.43,0.91,,,,,,,,
24-Jul-2019 - 00:00,54.26,161.61,7.48,33.88,24.11,49.47,4.31,1.77,33.58,0.92,,,,,,,,
25-Jul-2019 - 00:00,14.16,53.04,7.78,26.76,20.57,53.06,4.88,1.63,16.29,0.98,,,,,,,,
26-Jul-2019 - 00:00,32.35,77.26,8.02,21.85,18.15,39.24,6.64,1.9,18.36,1.31,,,,,,,,
27-Jul-2019 - 00:00,20.08,52.34,8.63,16.95,16.05,32.56,5.47,2.2,14.4,1.53,,,,,,,,
28-Jul-2019 - 00:00,16.41,47.88,13.33,19.19,21.09,30.46,7.54,1.69,9.64,1.6,,,,,,,,
29-Jul-2019 - 00:00,21.45,63.36,10.6,19.92,19.22,35.14,7.06,1.7,13.15,1.63,,,,,,,,
30-Jul-2019 - 00:00,30.85,86.29,9.98,18.65,18.04,41.13,7.24,1.62,12.64,1.51,,,,,,,,
31-Jul-2019 - 00:00,33.46,92.45,5.54,15.44,12.74,39.93,5.16,1.53,15.92,1.38,,,,,,,,
01-Aug-2019 - 00:00,37.11,104.46,8.67,28.33,22.11,46.57,4.64,1.63,20.21,1.39,,,,,,,,
02-Aug-2019 - 00:00,35.68,105.01,8.86,31.24,23.81,48.38,6.84,1.3,19.63,1.19,,,,,,,,
03-Aug-2019 - 00:00,28.76,74.31,9.94,25.51,21.71,39.7,5.15,1.71,12.88,1.22,,,,,,,,
04-Aug-2019 - 00:00,36.27,85.88,8.53,30.46,23.23,37.83,5.61,1.35,15.7,1.07,,,,,,,,
05-Aug-2019 - 00:00,60.7,141.18,22.2,47.74,43.45,40.83,7.55,1.94,33.19,0.92,,,,,,,,
06-Aug-2019 - 00:00,26.35,66.61,12.8,36.37,29.75,46.57,4,1.6,15.94,0.98,,,,,,,,
07-Aug-2019 - 00:00,23.76,66.28,9.3,26.34,21.6,38.88,6.01,1.25,14.05,1.09,,,,,,,,
